Part,Operator,Trial1,Trial2,Trial3
P01,Alice,14.98,14.9806,14.9804
P01,Bob,14.9827,14.9824,14.9805
P01,Carol,14.9805,14.9798,14.9809
P02,Alice,15.0164,15.0155,15.0131
P02,Bob,15.0166,15.0143,15.0175
P02,Carol,15.0132,15.0137,15.0157
P03,Alice,15.013,15.0148,15.0137
P03,Bob,15.0153,15.015,15.0165
P03,Carol,15.0135,15.0142,15.0145
P04,Alice,15.0263,15.0294,15.0278
P04,Bob,15.0273,15.0283,15.0299
P04,Carol,15.028,15.0263,15.0271
P05,Alice,14.9753,14.9761,14.9749
P05,Bob,14.977,14.9751,14.9753
P05,Carol,14.9747,14.9748,14.974
P06,Alice,14.9791,14.9787,14.9793
P06,Bob,14.9807,14.98,14.9804
P06,Carol,14.9771,14.9769,14.9751
P07,Alice,14.9723,14.9719,14.9725
P07,Bob,14.971,14.9724,14.9723
P07,Carol,14.9691,14.9718,14.9722
P08,Alice,14.9768,14.9786,14.9799
P08,Bob,14.9779,14.9801,14.9807
P08,Carol,14.979,14.9757,14.976
P09,Alice,15.019,15.02,15.0175
P09,Bob,15.019,15.0187,15.0209
P09,Carol,15.0172,15.0184,15.0185
P10,Alice,14.9717,14.9709,14.9709
P10,Bob,14.9727,14.972,14.9702
P10,Carol,14.969,14.9704,14.9697
