Part,Operator,Trial1,Trial2,Trial3
P01,Alice,24.9986,24.9971,24.9841
P01,Bob,25.0108,25.0083,25.0083
P01,Carol,24.977,24.9766,24.9826
P02,Alice,24.9883,24.9937,24.9913
P02,Bob,25.0042,24.9961,25.0028
P02,Carol,24.9874,24.98,24.9966
P03,Alice,25.0075,25.012,24.9993
P03,Bob,25.0074,25.0102,25.0119
P03,Carol,25.001,24.9983,24.9935
P04,Alice,24.983,24.9861,24.9982
P04,Bob,24.993,25.0004,25.0017
P04,Carol,24.9723,24.983,24.9918
P05,Alice,24.9868,24.9986,25.0002
P05,Bob,25.0042,25.0134,25.0095
P05,Carol,24.9836,24.9997,24.9986
P06,Alice,25.0034,25.0069,24.9993
P06,Bob,25.0066,24.9967,25.0101
P06,Carol,24.9855,24.9866,24.9809
P07,Alice,24.9826,24.9857,24.9984
P07,Bob,24.9842,24.9882,25.0001
P07,Carol,24.9925,24.9864,24.9691
P08,Alice,24.9826,25.0027,24.995
P08,Bob,25.0014,25.016,25.0169
P08,Carol,24.9943,24.9949,24.9962
P09,Alice,25.0001,24.9932,24.9925
P09,Bob,25.0017,24.9869,25.0069
P09,Carol,24.9886,24.9856,24.9681
P10,Alice,24.994,25.0043,24.9857
P10,Bob,25.0061,25.0145,24.9982
P10,Carol,25.0027,24.9953,24.9903
